Well	Sample	Sample Type	Target	Target Type	Dye	Cq	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
C4	1	unkn	Exon 2	toi	SYBRGreen I	25.870	556.45	531.55	532.26	531.89	532.03	537	534.69	536.38	533.27	532.92	541.82	546.59	540.15	540.78	542.12	544.75	539.35	544.55	545.94	553.76	560.15	577.02	615.96	683.52	783.46	952.03	1223.32	1529.41	1855.24	2103.8	2306.86	2436.18	2552.54	2616.2	2652.47	2687.55	2742.5	2729.6
C5	1	unkn	Exon 3	toi	SYBRGreen I	26.513	628.94	619.01	616.53	625.47	633.83	619.25	636.75	635.57	623.35	623.71	623.81	626.33	627.33	622.51	634.18	626.55	631.74	629.62	640.58	650.97	647.18	653.7	674.41	712.49	763.76	869.76	1050.02	1277.11	1586.86	1857.9	2098.94	2309.67	2445.57	2551.74	2613.27	2672.98	2724.39	2788.59
C6	1	unkn	Exon 3	toi	SYBRGreen I	26.786	644.96	612.59	607.26	612.41	612.13	607.59	614.33	618.6	618.98	608.1	610.32	609.06	613.51	612.77	601.56	611.27	604.54	611.9	609.33	598.45	620.37	629.71	642.1	687.73	717.9	837.18	1007.83	1242.97	1531.56	1800.48	2024.29	2212.11	2339.46	2450.43	2524.86	2594.01	2638.74	2674.96
C7	1	unkn	ZNF80	ref	SYBRGreen I	25.112	746.59	714.61	713.59	701.13	706.71	711.25	713.7	715.23	713.6	713.27	718.67	720.52	717.68	715.71	711.23	713.04	714.36	712.3	721.54	728.26	747.38	771.26	824.24	923.04	1089.14	1322.19	1654.93	1882.42	2122.55	2301.51	2439.58	2575.67	2638.96	2706.68	2767.11	2786.13	2820.84	2840.88
C8	1	unkn	ZNF80	ref	SYBRGreen I	24.790	754.32	745.28	729.41	735.92	739.61	738.25	731.16	741.79	734.28	721.01	743.72	744.72	738.64	729.09	744.41	735.3	747.05	735.59	748.95	756.58	779.32	811.84	873.02	1010.83	1200.86	1485.58	1832.43	2133.89	2413.53	2660.44	2834.17	2966.72	3053.02	3138.72	3210.24	3234.02	3258.51	3318.29
C9	1	unkn	GPR15	ref	SYBRGreen I	24.769	736.55	707.82	704.27	699.81	696.67	695.79	707.12	704.79	708.48	710.14	718.33	715.88	723.25	720.66	702.5	710.88	710.33	719.18	727.25	727.54	760.64	780.2	847.02	960.54	1146.17	1343.28	1578.77	1753.96	1957.74	2129.06	2283.39	2399.15	2493.88	2582.12	2651.61	2714.84	2759.46	2823.24
C10	1	unkn	GPR15	ref	SYBRGreen I	25.435	826.36	784.38	767.19	785.52	779.71	776.68	786.01	782.05	779.96	783.35	788.89	785.49	785.89	793.88	788.2	793.69	786.83	797.51	804.14	819.56	826.63	861.23	937.47	1058.64	1242.97	1510.63	1767.77	1986.17	2219.62	2416.82	2601.18	2746.71	2872.64	2982.27	3063.97	3130.8	3179.36	3224.65
C11	NTC	ntc	Exon 3	toi	SYBRGreen I	-1.0	487.33	479.52	468.03	468.26	467.8	468.02	465.87	472.58	462.49	473.09	463.48	470.74	471.96	468.59	472.03	466.76	473.81	477.57	478.93	478.12	479.05	477.64	475.21	477.64	471.13	478.89	458.85	461.85	460.8	464.74	447.24	457.3	462.07	449.95	446.74	451.51	454.07	467.18
C12	NTC	ntc	Exon 3	toi	SYBRGreen I	-1.0	493.12	511.01	505.01	498.87	498.95	503.78	502.99	497.75	506.65	504.98	505.76	508.12	514.87	505.86	509.64	518.34	504.65	510.39	505.78	512.99	506.18	516.76	514.54	506.51	510.02	505.2	516.55	514.15	515.23	509.57	511	509.73	507.85	509.19	530.86	517.56	527.01	514.02
D1	1	unkn	Exon 1	toi	SYBRGreen I	-1.0	465.09	471.28	481.19	481.98	480.42	481.14	486.41	482.17	478.56	477.74	482.52	478.91	481.76	482.07	484.45	486.75	483.24	479.68	485.83	486.35	487.31	499.27	525.91	542.64	612.51	698.35	834.6	992.45	1147.86	1298.77	1410.94	1521.7	1592.72	1671.45	1706.07	1766.3	1797.65	1801.07
